username,display_name,email,phone,assigned_tags
sitting.bull,Sitting Bull,sitting.bull@redrocks.org,555-040-0001,ADM
thousand.doors,Thousand Doors,thousand.doors@redrocks.org,555-040-0002,HR
crazy.horse,Crazy Horse,crazy.horse@redrocks.org,555-040-0003,ENG
captain.jack,Captain Jack,captain.jack@redrocks.org,555-040-0004,IT
john.horse,John Horse,john.horse@redrocks.org,555-040-0005,"IT, ENG"
little.turkey,Little Turkey,little.turkey@redrocks.org,555-040-0006,"ADM, HR, ENG"
lone.wolf,Lone Wolf,lone.wolf@redrocks.org,555-040-0007,ADM
red.cloud,Red Cloud,red.cloud@redrocks.org,555-040-0008,"IT, ENG, ADM, HR"
john.watts,John Watts,john.watts@redrocks.org,555-040-0009,"ADM, ENG"
dragging.canoe,Dragging Canoe,dragging.canoe@redrocks.org,555-040-0010,"ADM, HR "
standing.bear,Standing Bear,standing.bear@redrocks.org,555-040-0011,IT
white.eagle,White Eagle,white.eagle@redrocks.org,555-040-0012,HR
running.antelope,Running Antelope,running.antelope@redrocks.org,555-040-0013,"ADM, IT"
two.moons,Two Moons,two.moons@redrocks.org,555-040-0014,"IT, HR"
flying.hawk,Flying Hawk,flying.hawk@redrocks.org,555-040-0015,ENG
tall.bull,Tall Bull,tall.bull@redrocks.org,555-040-0016,"HR, ENG"
blue.horse,Blue Horse,blue.horse@redrocks.org,555-040-0017,"ADM, HR, ENG, IT"
swift.deer,Swift Deer,swift.deer@redrocks.org,555-040-0018,"ENG, ADM"
iron.shell,Iron Shell,iron.shell@redrocks.org,555-040-0019,ADM
rising.sun,Rising Sun,rising.sun@redrocks.org,555-040-0020,"HR, ENG"
broken.arrow,Broken Arrow,broken.arrow@redrocks.org,555-040-0021,"IT, ADM"
gray.fox,Gray Fox,gray.fox@redrocks.org,555-040-0022,ENG
chief.bowles,Chief Bowles,chief.bowles@redrocks.org,555-040-0023,"HR, IT"
yellow.bird,Yellow Bird,yellow.bird@redrocks.org,555-040-0024,"ENG, ADM"
spotted.tail,Spotted Tail,spotted.tail@redrocks.org,555-040-0025,HR
young.man,Young Man,young.man@redrocks.org,555-040-0026,"IT, HR"
eagle.feather,Eagle Feather,eagle.feather@redrocks.org,555-040-0027,"ADM, HR"
silver.cloud,Silver Cloud,silver.cloud@redrocks.org,555-040-0028,"ENG, IT"
brave.bear,Brave Bear,brave.bear@redrocks.org,555-040-0029,"ADM, HR, ENG"
white.tail,White Tail,white.tail@redrocks.org,555-040-0030,"IT, ADM"
swift.salmon,Swift Salmon,swift.salmon@redrocks.org,555-040-0031,"ENG, HR"
gliding.trout,Gliding Trout,gliding.trout@redrocks.org,555-040-0032,"IT, HR"
quiet.stingray,Quiet Stingray,quiet.stingray@redrocks.org,555-040-0033,"ADM"
bright.cod,Bright Cod,bright.cod@redrocks.org,555-040-0034,"ENG, ADM"
shaded.herring,Shaded Herring,shaded.herring@redrocks.org,555-040-0035,"HR"
swift.mackerel,Swift Mackerel,swift.mackerel@redrocks.org,555-040-0036,"IT, ENG"
bold.barracuda,Bold Barracuda,bold.barracuda@redrocks.org,555-040-0037,"ADM, IT"
soft.sardine,Soft Sardine,soft.sardine@redrocks.org,555-040-0038,"ENG"
watchful.tuna,Watchful Tuna,watchful.tuna@redrocks.org,555-040-0039,"ADM, HR, ENG"
gentle.marlin,Gentle Marlin,gentle.marlin@redrocks.org,555-040-0040,"HR, IT"
